country;director;genre;imdb_rating;title;year
['СССР'];['Станислав Ростоцкий'];['драма', 'военный', 'экранизация'];8.1;…А зори здесь тихие;1972
['СССР', 'Болгария'];['Нинель Ненова-Цулая', 'Гено Цулая'];['комедия'];5.1;А ну-ка, дедушки!;1981
['Великобритания', 'Италия'];['Николас Роуг'];['мистический триллер'];7.1;А теперь не смотри;1973
['США'];['Фрэнк Оз'];['комедия'];7.0;А как же Боб?;1991
['Гонконг'];['Аллен Фон'];['драма'];6.9;А Йинг;1983
['США'];['Джонатан Демми'];['драма'];7.6;А кто я на этот раз?;1983
['СССР'];['Юлий Райзман'];['драма'];7.3;А если это любовь?;1961
['СССР'];['Игорь Усов'];['музыкальная комедия'];4.6;А вы любили когда-нибудь?;1973
[];['Юлия фон Хайнц'];['драма'];6.0;А завтра весь мир;2020
['Великобритания'];['Кен Эннакин'];['комедия', 'драма'];6.2;А вот и Хаггетты;1948
['СССР'];['Геннадий Полока'];['детективный фильм', 'комедия'];6.1;А был ли Каротин;1989
['СССР'];['Рубен Мурадян'];[];6.2;А пароходы гудят и уходят…;1972
['Великобритания'];['Дэвид Йейтс'];['комедия', 'драма', 'семейный фильм', 'фэнтези'];6.8;А вот и гости!;2003
['США'];['Джон Гамбург'];['комедия'];6.0;А вот и Полли;2004
['США', 'Австрия', 'Германия'];['Патрик Воллрат'];['Триллер', 'боевик'];6.3;7500;2019
['Великобритания', 'Ирландия', 'Франция'];['Дэмиен ОДоннелл'];['драма'];7.7;А в душе я танцую;2004
['США'];['Эллен Сидлер', 'Мэган Силер'];['Романтическая комедия'];4.0;А вот и Лола;2009
['США'];['Дэмиен Лихтенштайн'];['драма', 'комедия', 'криминал', 'триллер'];6.0;3000 миль до Грейслэнда;2001
['Япония'];['Такаси Ямадзаки'];['боевик', 'постапокалиптика', 'космическая опера', 'драма'];6.0;2199: Космическая одиссея;2010
['Германия'];['Шерри Хорман'];['драма'];6.5;«3096 дней»;2013
['США'];['Чендлер Таттл'];['Фантастика', 'Антиутопия'];6.9;2081;2009
['Австралия'];['Сет Ларни'];['научно-фантастический триллер'];4.9;2067: Петля времени;2020
['Великобритания'];['Хасраф Дулулл'];['научная фантастика'];4.3;2036: Происхождение неизвестно;2018
['США'];['Люк Скотт'];['антиутопический фильм', 'научно-фантастический фильм', 'киберпанк'];6.9;2036: Nexus Dawn;2017
['Китай', 'Гонконг'];['Вонг Карвай'];['драма', 'мелодрама', 'фантастика'];7.4;2046;2004
['Германия'];['Йорг Людорф'];['фантастика', 'драма'];5.5;2030 — Восстание молодых немцев;2011
['Франция', 'Италия'];['Сержо Мартино'];['боевик', 'фильм ужасов', 'фантастика', 'постапокалиптика'];5.5;2019: После падения Нью-Йорка;1983
['США'];['Принстон Холт'];['научная фантастика', 'драма'];3.8;2050;2018
['США'];['Трэвис Форт'];['научно-фантастический', 'фильм-катастрофа'];2.2;2012: Ледниковый период;2011
['Южная Корея', 'Япония'];['Ли Щи-мён'];['Альтернативная история', 'Фантастический', 'боевик', 'Триллер'];6.1;2009: Утраченные воспоминания;2002
['США'];['Тим Салливан'];['комедия', 'фильм ужасов'];3.1;2001 маньяк: Территория криков;2010
['Россия'];['Александр Велединский'];['драматический фильм'];6.2;1993;2023
['США'];['Роланд Эммерих'];['научно-фантастический', 'фильм-катастрофа'];5.8;2012;2009
['США'];['Тим Салливан'];['комедия ужасов'];5.3;2001 маньяк;2005
['США'];['Дэвид Марки'];['документальный'];7.3;1991: Год прорыва панка;1992
['Италия'];['Энцо Г Кастеллари'];['боевик', 'антиутопия'];5.2;1990: Воины Бронкса;1982
['Россия'];['Павел Тупик'];['документальный', 'драма'];;1812;2012
['Финляндия', 'Россия'];['Диана Ринго'];['антиутопия'];6.0;1984;2023
['Великобритания'];['Майкл Рэдфорд'];['антиутопия'];7.0;1984;1984
['США'];['Ридли Скотт'];['Реклама'];7.8;«1984»;1984
['Великобритания'];['Майкл Андерсон'];['антиутопия', 'драма', 'фантастика'];6.9;1984;1956
['Эстония', 'Финляндия'];['Эльмо Нюганен'];['военный фильм', 'драма'];7.0;1944;2015
['США'];['Джоанна Гамильтон'];['документалистика'];7.3;1971;2014
['США'];['Стивен Спилберг'];['военная', 'комедия'];5.8;1941;1979
['СССР'];['Мукадас Махмудов'];['музыкальный фильм'];;1002-ая ночь («Как Шахрияр женился на Шехеразаде»);1964
['Россия'];['Константин Буслов'];['биография', 'мелодрама'];5.7;1941. Крылья над Берлином;2022
['Великобритания', 'США'];['Сэм Мендес'];['военная', 'драма'];8.2;1917;2019
['Швеция'];['Йоран Кармбак'];['драма'];6.1;1939;1989
['Великобритания'];['Стивен Поляков'];['драма'];6.4;1939;2009
['США'];['Зак Хилдитч'];['криминальная драма', 'триллер'];6.2;1922;2017
['Италия'];['Алессандро Блазетти'];['Драма'];6.6;1860;1934
['Россия'];['Арсений Гончуков'];['драма'];6.1;1210;2012
['Россия'];['Олег Фесенко'];['приключенческий', 'исторический'];2.5;1812: Уланская баллада;2012
['Россия'];['Владимир Хотиненко'];['Приключенческий фильм'];5.6;1612;2007
['Российская империя'];['Василий Гончаров', 'Кай Ганзен', 'Александр Уральский'];['драма', 'исторический'];5.6;1812 год;1912
['Австралия'];['Джош Рейд'];['драма'];5.4;1500 шагов;2014
['США'];['Микаэль Хофстрём'];['психологические ужасы', 'триллер', 'мистика', 'психоделика', 'драма'];6.8;1408;2007
['Россия'];['Николай Хомерики'];['фантастика', 'драма'];5.6;977;2006
['Венгрия'];['Петер Шоош'];[];;1242: Врата на Запад;2023
['США'];['Эван Джексон Леонг'];['документальный'];8.6;1040;2010
['Испания'];['Алекс Де Ла Иглесиа'];['драма'];6.3;800 пуль;2002
['СССР'];['Валерий Соловцов'];['документальный', 'пропагандистский'];;900 незабываемых дней;1964
['США', 'Франция', 'Испания', 'Великобритания'];['Ридли Скотт'];['драма', 'исторический'];6.4;1492: Завоевание рая;1992
['Нидерланды'];['Джессика Гортер'];['документальный'];7.3;900 дней.  Миф и реальность Ленинградской блокады;2011
['СССР'];['Григорий Никулин'];['драма', 'триллер', 'приключение', 'фильм-катастрофа'];5.7;713-й просит посадку;1962
['Перу', 'США'];['Луис Льоса'];['приключения'];4.4;800 льё вниз по Амазонке;1993
['США'];['Марк Уэбб'];['романтическая', 'комедийная драма'];7.7;500 дней лета;2009
['Франция', 'Великобритания'];['Франсуа Трюффо'];['антиутопия'];7.2;451° по Фаренгейту;1966
['Республика Корея'];['Пак Чхоль Су'];['триллер', 'фильм ужасов', 'детектив'];6.4;301, 302;1995
['США'];['Джозеф М Ньюман'];['Фильм нуар'];6.8;711 Оушен Драйв;1950
['Мексика'];['Габриэль Рипштейн'];['драматический фильм'];5.5;600 миль;2015
['Франция', 'Испания'];['Пьер Шёндёрффер'];['военный фильм', 'драматический фильм'];7.3;317-й взвод;1964
['Узбекистан'];['Акром Шахназаров'];['биография'];;101 Рейс;2022
['США'];['Рамин Бахрани'];['драматический фильм', 'научно-фантастический фильм', 'экранизация романа'];5.0;451 градус по Фаренгейту;2018
['США', 'Грузия'];['Леван Бакха'];['фильм ужасов'];4.8;247 градусов по Фаренгейту;2011
['Польша'];['Барбара Бяловонс', 'Томаш Мандес'];['эротическая комедия'];3.3;365 дней;2020
[];['Ainara Aparici'];['документальный фильм'];7.4;130 детей;2022
['США'];['Кевин Рейнольдс'];['драма', 'триллер'];6.6;187;1997
['США'];['Ноам Мурро'];['эпический', 'исторический', 'боевик'];6.2;300 спартанцев: Расцвет империи;2014
['США'];['Зак Снайдер'];['эпический', 'исторический', 'боевик'];7.6;300 спартанцев;2006
['США'];['Риза Брэмон Гарсия'];['комедия', 'драма', 'мелодрама'];6.0;200 сигарет;1999
['США', 'Великобритания'];['Дэнни Бойл'];['драма', 'триллер'];7.5;127 часов;2010
['Россия'];['Леонид Марягин'];['драма'];6.8;101-й километр;2001
['США', 'Франция', 'Великобритания'];['Макс Джозеф'];['музыкальная драма'];6.2;128 ударов сердца в минуту;2015
['Франция'];['Робен Кампийо'];['драматический фильм', 'ЛГБТ-фильм'];7.4;120 ударов в минуту;2017
['США'];['Кевин Лима'];['комедия'];4.8;102 далматинца;2000
['США'];['Стивен Херек'];['семейный фильм', 'комедия', 'приключенческий фильм'];5.8;101 далматинец;1996
['США'];['Эрик Ред'];['триллер'];5.4;100 футов;2008
['Франция'];['Роберт Родригес'];['Научная фантастика'];;100 лет;2015
['Япония'];['Дзюнъя Сато'];['фильм-катастрофа'];6.8;109-й идёт без остановок;1975
['Исландия', 'Дания', 'Норвегия', 'Франция'];['Балтазар Кормакур'];['романтическая комедия'];6.8;101 Рейкьявик;2000
['Испания', 'Португалия'];['Марсель Баррена'];['драма', 'комедия'];7.5;100 метров;2016
['Франция'];['Оливье Барру'];['комедия'];5.4;100 миллионов евро;2011
['США'];['Маркус Кох'];['фильм ужасов'];4.2;100 слёз;2007
['США'];['Мэтью Хаффман'];['Комедия'];5.7;100 проблем и девушка;2000
['Германия'];['Флориан Давид Фиц'];['комедийный фильм'];6.3;100 вещей и ничего лишнего;2018
['Италия', 'Испания', 'ФРГ'];['Витторио Коттафави'];['исторический фильм', 'приключенческий фильм'];6.3;100 всадников;1964
['Республика Корея'];['Шин Джэ-хо'];['романтическая кинокомедия', 'мелодрама'];6.0;100 дней с Мистером Высокомерие;2004
['Россия'];['Никита Михалков'];['документальный фильм'];;55;2007
['США'];['Майкл Дэвис'];['комедия'];5.8;100 девчонок и одна в лифте;2000
[];['Питер Гринуэй'];['документальный фильм'];7.2;92 ядерных взрыва на планете Земля;2010
['Венгрия'];['Майкл Кёртис'];['криминальный фильм'];4.4;99;1918
['Франция'];['Ян Кунен'];['комедия', 'драма'];7.1;99 франков;2007
['США'];['Майкл Полиш'];['драма'];4.9;90 минут на небесах;2015
['США', 'Канада', 'Германия'];['Джон Эвнет'];['триллер'];5.9;88 минут;2007
['США'];['Рамин Бахрани'];['драматический фильм'];7.1;99 домов;2014
['Великобритания', 'Италия', 'Испания', 'ФРГ', 'Лихтенштейн'];['Хесус Франко'];['драма', 'триллер', 'фильм ужасов'];4.6;99 женщин;1969
['Россия'];['Кира Ангелина'];['военный', 'драма'];5.9;72 часа;2015
['Республика Корея'];['Ли Джэ Хан'];['боевик', 'драма', 'военный фильм'];7.2;71: В огне;2010
['Польша'];['Вальдемар Кшистек'];['драма', 'боевик', 'исторический фильм'];6.6;80 миллионов;2011
['Россия'];['Владимир Хотиненко'];['фильм-катастрофа', 'драма', 'трагикомедия'];6.5;72 метра;2004
['Австрия', 'Германия'];['Михаэль Ханеке'];['драма'];7.1;71 фрагмент хронологии случайностей;1994
['США'];['Скотт Бек', 'Брайан Вудс'];['научно-фантастический', 'остросюжетный боевик'];5.4;65;2023
['Великобритания'];['Ян Деманж'];['историческая', 'драма'];7.2;71;2014
['Таиланд'];['Пен-Ек Ратанаруанг'];['комедия', 'криминальный фильм'];7.2;69 (Шестьдесят девять);1999
['США'];['Джейсон Коннери'];['фантастика', 'фильм ужасов'];3.5;51;2011
[];[];[];6.6;50 ютуберов борются за $1,000,000 для своих подписчиков!;2024
['США'];['Николас Рэй'];['драма', 'исторический', 'военный'];6.7;55 дней в Пекине;1963
['США'];['Питер Сигал'];['романтическая комедия'];6.8;50 первых поцелуев;2004
['СССР'];['Генрих Габай'];['драма', 'приключения'];7.1;49 дней;1962
['США'];['Гари Леннон'];['драма'];5.5;45-й калибр;2006
['Великобритания'];['Эндрю Хэйг'];['драма'];7.1;45 лет;2015
['Новая Зеландия'];['Стюарт Мейн'];['драма'];5.8;50 оттенков голубого;2005
['США', 'Япония'];['Карл Ринш'];['фэнтези', 'боевик', 'драма'];6.2;47 ронинов;2013
['США'];['Харальд Цварт'];['комедия', 'пародия', 'боевик'];5.1;Агент Коди Бэнкс;2003
['США'];['Тео Эвгерино'];['Драма'];4.9;50 таблеток;2006
['Великобритания', 'Франция'];['Деклан Лоуни'];['комедия'];6.9;Алан Партридж: Альфа Отец;2013
['Аргентина'];['Анаи Бернери'];['драматический фильм'];6.2;Аланис;2017
['США'];['Виктор Шёстрём'];['драма'];7.6;Алая буква;1926
['США'];['Луис ДЭспозито'];['короткометражка', 'боевик', 'приключения', 'научная фантастика'];7.4;Агент Картер;2013
['США'];['Джозеф В Смайли', 'Джордж Лоан Такер'];['драматический фильм'];7.5;Алая буква;1911
['США'];['Берт Кеннеди'];['драма', 'боевик'];6.1;Штурмующие;1987
['СССР'];['Владимир Шамшурин'];['военный фильм'];6.0;Акция;1987
['США'];['Джон Ли Хэнкок'];['Драма', 'исторический фильм', 'военный фильм', 'вестерн'];6.1;Аламо;2004
['США'];['Гай Ричи'];['комедия', 'мюзикл', 'фэнтези', 'приключения', 'мелодрама'];6.9;Аладдин;2019
['СССР'];['Георгий Шенгелая'];['притча'];8.2;Алавердоба;1962
['США', 'Израиль', 'ЮАР'];['Боб Мисиоровски'];['боевик', 'фильм ужасов', 'триллер'];3.4;Акулы;1999
['США'];['Деклан ОБрайен'];['ужасы', 'фантастика', 'боевик', 'комедия'];3.3;Акулосьминог;2010
['США'];['Тим Бёртон'];['приключенческий фильм', 'комедия', 'семейный фильм', 'фэнтези'];6.5;Аладдин и его волшебная лампа;1986
['США'];['Энтони Ферранте'];['комедийный', 'научно-фантастический', 'фильм ужасов', 'фильм-катастрофа'];3.9;Акулий торнадо 4: Пробуждение;2016
['США'];['Энтони Ферранте'];['ужасы', 'комедия', 'фантастика', 'трэш'];4.0;Акулий торнадо 2: Второй по счёту;2014
['США'];['Энтони Ферранте'];['комедийный', 'научно-фантастический', 'фильм ужасов', 'фильм-катастрофа'];4.0;Акулий торнадо 3;2015
['Италия', 'Франция'];['Ламберто Бава'];['боевик', 'фильм ужасов', 'триллер'];2.8;Акула-монстр;1984
[];['Джеффри Скотт Ландо'];['Фантастика', 'комедия', 'Боевик', 'Триллер'];3.0;Акула-робот;2015
['США'];['Энтони Ферранте'];['комедийный', 'научно-фантастический', 'фильм ужасов', 'фильм-катастрофа'];3.9;Акулий торнадо 5: Глобальное роение;2017
['США'];['Энтони Ферранте'];['фильм-катастрофа', 'ужасы', 'фантастика', 'комедия'];3.3;Акулий торнадо;2013
['СР Румыния'];['Мирча Верою'];['вестерн'];7.3;Актриса и трансильванцы;1979
['Канада', 'США'];['Бретт Доноху'];['боевик', 'приключенческий фильм'];5.3;Акты насилия;2018
['СССР'];['Вирве Аруоя'];['драма'];6.2;Актер Йоллер;1960
['СССР'];['Леонид Трауберг'];['мелодрама', 'комедия', 'военный фильм'];7.0;Актриса;1942
['Республика Корея'];['Ли Джэ Ён'];['драматический фильм'];7.0;Актрисы;2009
['СССР'];['Леонид Пчёлкин'];['драматический фильм'];6.3;Активная зона;1979
['Россия'];['Александр Рогожкин'];['мелодрама', 'детектив'];5.4;Акт;1993
['Франция'];['Бертран Блие'];['комедия'];5.9;Актёры;2000
['США'];['Майкл Гордон'];['Фильм нуар'];6.9;Акт убийства;1948
['Финляндия'];['Эдвин Лайне'];['драма', 'исторический'];6.8;Аксели и Элина;1970
['Великобритания', 'Дания', 'Норвегия'];['Джошуа Оппенхаймер', 'Кристин Цинн', 'Анонимные сорежиссёры'];['документальный', 'исторический'];8.2;Акт убийства;2012
['США'];['Фред Циннеман'];['Фильм нуар', 'Драма'];7.5;Акт насилия;1948
['Великобритания', 'Германия', 'Ирландия'];['Конор МакФерсон'];['комедия криминал'];5.9;Актёры;2003
['Франция', 'Италия'];['Жерар Пирес'];['криминальный фильм', 'драма'];5.3;Акт агрессии;1975
['СССР'];['Юрий Степчук'];['сказка'];5.4;Акмаль, дракон и принцесса;1981
['Германская империя'];['Макс Складановский'];['хроника', 'короткометражка'];5.2;Акробатическая смесь;1895
['СССР'];['Алексей Коренев'];['эксцентрическая комедия'];5.5;Акселератка;1987
['СССР'];['Анар Рзаев'];['биографический фильм', 'драма', 'комедия', 'мюзикл'];7.9;Аккорды долгой жизни;1981
['Великобритания'];['Луи Лепренс'];['Документальное кино'];5.5;Аккордеонист;1888
['Франция'];['Клод Миллер'];['драма', 'военный фильм'];6.9;Аккомпаниаторша;1992
['США'];['Джеймс Ван'];['супергероика', 'боевик', 'приключения', 'фантастика'];6.8;Аквамен;2018
['Великобритания'];['Андреа Арнольд'];['драма'];7.3;Аквариум;2009
['Чехия'];['Ян Сверак'];['фантастика', 'комедия'];7.0;Аккумулятор 1;1994
['США'];['Джеймс Ван'];['супергероика', 'боевик', 'фантастика', 'приключения'];5.6;Аквамен и потерянное царство;2023
['СССР'];['Отар Иоселиани'];['драма'];6.8;Акварель;1958
['СССР'];['Игорь Вознесенский'];['Фантастика'];5.5;Акванавты;1979
['СССР'];['Алты Карлиев', 'Владимир Иванов'];['драма', 'исторический'];;Айна;1959
['США'];['Дэвид Оливерас'];['мелодрама'];6.4;Акварели;2008
['Германия', 'Польша', 'Украина'];['Энтони Краузе'];['драма', 'боевик'];6.7;Аквариум, или Одиночество шпиона;1996
['Италия'];['Пьер Паоло Пазолини'];['драма'];7.6;Аккатоне;1961
['СССР'];['Евгений Шерстобитов'];['детский', 'детектив', 'приключенческий фильм'];6.6;Акваланги на дне;1965
['Австралия', 'США'];['Элизабет Аллен'];['фэнтези', 'комедия', 'семейный фильм'];5.4;Аквамарин;2006
['Аргентина', 'Испания'];['Пабло Джорджелли'];['драматический фильм'];6.9;Акации;2011
['СССР', 'Польша'];['Кшиштоф Градовский'];['киносказка'];6.8;Академия пана Кляксы;1983
['СССР'];['Варис Брасла'];['мелодрама экранизация'];6.9;Айя;1987
['СССР'];['Григорий Рошаль'];['биографическая', 'драма'];6.0;Академик Иван Павлов;1949
['США'];['Уэс Андерсон'];['комедия', 'драма'];7.6;Академия Рашмор;1998
['США', 'Великобритания', 'США'];['Марк Уотерс'];['фэнтезийный', 'комедийный фильм ужасов', 'фэнтезийный фильм', 'подростковый фильм', 'фильм о вампирах', 'экранизация романа', 'боевик', 'фильм-тайна', 'мелодрама'];5.4;Академия вампиров;2014
['СССР'];['Владимир Герасимов'];['биографический фильм'];5.5;Академик из Аскании;1961
['Германия'];['Деннис Ганзель'];['драма', 'военный фильм'];7.4;Академия смерти;2004
['СССР'];['Валерий Жереги'];['драма', 'притча'];;Аист;1978
['Россия'];['Бакич Видяй'];['драма'];;Азор;2018
['Россия'];['Степан Бурнашёв'];['драма', 'триллер'];6.7;Айта;2022
['Индия'];['Раджшри Оджха'];['романтическая комедия'];5.1;Айша;2010
['Великобритания'];['Карел Рейш'];['драма'];6.8;Айседора;1968
['СССР'];['Генрих Малян'];['мелодрама'];7.4;Айрик;1972
['Турция', 'Республика Корея'];['Джан Улкай'];['драма'];8.2;Айла;2017
['США'];['Шейн Ван Дайк'];['фильм-катастрофа', 'боевик', 'приключенческий фильм'];1.7;Айсберг;2010
['Великобритания', 'США'];['Ричард Айр'];['драма'];7.0;Айрис;2001
['СССР'];[];['драма'];;Азамат;1939
['США'];['Роберт Хэрмон'];[];7.1;Айк: Обратный отсчёт;2004
['США', 'Великобритания'];['Дуглас Кэмфилд'];['приключенческий фильм'];6.7;Айвенго;1982
['США'];['Сэм Вуд'];['Фильм нуар', 'Мелодрама'];7.0;Айви;1947
['СССР', 'Азербайджанская ССР'];['Кямиль Рустамбеков'];['мелодрама'];7.6;Айгюн;1960
['США', 'Великобритания'];['Уильям Олдройд'];['психологический фильм-триллер', 'экранизация романа'];5.9;Айлин;2023
['Италия'];[];['драма'];;Аида;1911
['США'];['Ричард Торп'];['исторический фильм', 'приключение'];6.7;Айвенго;1952
['Италия'];['Клементе Фракасси'];['фильм', '-', 'опера', 'музыкальный фильм', 'драма', 'мелодрама'];5.2;Аида;1953
['Казахстан', 'Россия', 'Германия', 'Китай', 'Польша'];['Сергей Дворцевой'];['драма'];7.1;Айка;2019
['Россия'];['Олег Компасов'];['фантастика'];3.4;Азирис Нуна;2006
['США'];['см ниже'];['ужасы', 'комедия', 'мистика', 'боевик', 'драма'];4.7;Азбука смерти;2012
['СССР'];['Ролан Быков'];['музыкальный фильм', 'комедийный фильм', 'приключенческий фильм', 'артхаус', 'фильм-сказка'];6.8;Айболит-66;1966
['США'];['Леонс Перре'];['мелодрама'];6.2;Азбука любви;1919
['Польша'];['Анджей Вайда'];['драматический фильм'];6.3;Аир;2009
['США'];['Холли Голдберг Слоан'];['комедия'];5.5;Азбука футбола;1995
['Индия'];['Мансур Хан'];['музыкальный фильм', 'драматический фильм', 'боевик'];6.1;Азарт любви;2000
['Таиланд', 'США'];['Дэниэл Дзирилли'];['боевик'];3.2;Азиатский связной;2016
['США'];['Билли Уайлдер'];['комедия'];7.2;Азарт удачи;1966
['США'];['Уильям Фридкин'];['драма'];6.3;Азартная игра;1994
['США'];['Фил Карлсон'];['Фильм нуар'];5.9;Адский остров;1955
['Великобритания'];['Киран Паркер'];['боевик', 'фильм ужасов'];5.0;Адский бункер: Восстание спецназа;2013
['США'];['Уильям Дж Хоул-младший'];['Фильм нуар', 'Триллер'];6.3;Адский переплёт;1957
['Франция'];['Шарль Немес'];['комедийный фильм', 'кинопародия'];5.8;Адский небоскрёб;2001
['Франция'];['Жорж Мельес'];['фильм ужасов'];6.6;Адский котёл;1903
['США'];['Джон Франкенхаймер'];['триллер', 'драма'];5.8;Азартные игры;2000
['Гонконг'];['Лу Цзюньгу', 'Тони Вон'];['боевик'];6.6;Адский ветряк;1979
['Великобритания'];['Стив Баркер'];['боевик', 'фильм ужасов'];4.9;Адский бункер: Черное солнце;2012
['США'];['Ларри Бишоп'];['боевик', 'триллер', 'приключения'];5.0;Адская поездка;2008
['США'];['Джефф Барр'];['фильм ужасов'];4.6;Адская месть-2. Кровавые крылья;1994
['США'];['Том Де Саймон'];['ужасы', 'триллер'];5.6;Адская ночь;1981
['Великобритания'];['Стив Баркер'];['боевик', 'фильм ужасов'];5.8;Адский бункер;2008
['США'];['Тони Чинчирипини'];['криминал', 'драма'];4.6;Адская кухня;1998
['США'];['Андреа Берлофф'];['криминальная', 'драма', 'боевик'];5.6;Адская кухня;2019
['США'];['Сильвестр Сталлоне'];['драма'];5.7;Адская кухня;1978
['США'];['Джеймс Лейн', 'Дональд Джонс'];['комедия'];2.7;Адская жёнушка;1993
['СССР'];['Владимир Петров'];[];;Адрес Ленина;1929
['США'];['Альберт Пьюн'];['боевик', 'фантастика'];3.8;Адреналин: Страх погони;1996
['Франция'];['Жан-Поль ле Шануа'];['комедийная драма'];6.6;Адрес неизвестен;1950
['СССР'];['Евгений Хринюк'];['военная', 'драма', 'приключения'];6.3;Адрес вашего дома;1972
['США', 'США'];['Марк Невелдайн', 'Брайан Тейлор'];['боевик', 'криминал', 'триллер', 'чёрная комедия', 'трэш', 'Поп-рок', 'альтернативный рок', 'саундтрек'];6.1;Адреналин 2: Высокое напряжение;2009
['СССР'];['Михаил Ромм'];['историко-биографический'];7.2;Адмирал Ушаков;1953
['США'];['Роберт Уайз'];['романтический фильм', 'драматический фильм'];7.4;Административная власть;1954
['Израиль', 'Германия'];['Скандар Копти', 'Ярон Шани'];['драма'];7.3;Аджами;2009
['Нидерланды'];['Роэль Рейн'];['байопик', 'военный фильм', 'исторический фильм', 'драма'];7.0;Адмирал;2015
['СССР'];['Всеволод Пудовкин'];['историко-биографический'];6.6;Адмирал Нахимов;1946
['Франция'];['Анита Ассаль', 'Бартоломи Бомпар'];['фильм ужасов'];6.3;Адреналин;1990
['США'];['Марк Невелдайн', 'Брайан Тейлор'];['боевик', 'триллер', 'криминал', 'чёрная комедия'];6.9;Адреналин;2006
['Чехословакия'];['Олдржих Липский'];['Кинокомедия', 'детектив'];7.4;Адела ещё не ужинала;1977
['Франция'];['Поль Коллин'];['комедия'];5.4;Адемай на пограничном посту;1950
['Россия', 'Франция', 'Китай'];['Андрей Кравчук'];['исторический', 'военный', 'приключенческий', 'мелодрама', 'драма'];6.6;Адмиралъ;2008
['США'];['Тейлор Хэкфорд'];['ужасы', 'триллер', 'драма'];7.5;Адвокат дьявола;1997
['Дания', 'Германия'];['Андерс Томас Йенсен'];['комедия', 'драма', 'криминальный фильм'];7.7;Адамовы яблоки;2005
['США', 'США'];['Спайк Джонз'];['трагикомедия', 'Музыка к фильму'];7.7;Адаптация;2002
['США'];['Уильям Уайлер'];['драма'];7.5;Адвокат;1933
['СССР'];['Искандер Хамраев'];['драма', 'детектив'];7.7;Адвокат;1990
['СССР'];['Алексей Коренев'];['комедия'];7.4;Адам и Хева;1969
['Республика Корея'];['Ян Усок'];['драма'];7.7;Адвокат;2013
['СССР'];['Витаутас Жалакявичюс'];['драма'];7.1;Адам хочет быть человеком;1959
['США'];['Макс Майер'];['драма', 'мелодрама'];7.1;Адам;2009
['СССР'];['Геннадий Беглов'];['драма'];6.4;Ад, или Досье на самого себя;1989
['СССР'];['Виктор Абросимович Титов'];['драматический фильм', 'комедийный фильм'];6.3;Адам женится на Еве;1980
['Италия'];['Стефано Соллима'];[];6.6;Адажио;2023
['Польша'];['Конрад Том'];['комедийный фильм'];6.6;Ада! Это же неудобно!;1936
['Польша'];['Станислав Ружевич'];['Фантастическая', 'комедия'];6.9;Ад и небо;1966
['США'];['Дэвид Мармор'];['драматический фильм', 'фильм ужасов', 'фильм-триллер'];5.8;Ад по соседству;2019
['Бельгия'];['Франк Ван Мехелен'];['драма'];7.1;Ад Танжера;2006
['США'];['Крэйг Честер'];['комедия'];5.8;Адам и Стив;2005
['Италия'];['Руджеро Деодато'];['Ужасы', 'Приключения'];5.9;Ад каннибалов 3;1977
['Италия', 'Испания'];['Бруно Маттеи', 'Клаудио Фрагассо'];['фильм ужасов'];4.9;Ад живых мертвецов;1980
['Италия'];['Руджеро Деодато'];['ужасы'];5.8;Ад каннибалов;1980
['Италия'];['Джузеппе де Лигуоро', 'Адольфо Падован', 'Франческо Бертолини'];['немое кино', 'драматический фильм'];7.0;Ад;1911
['США'];['Джон Бурмен'];['приключенческий фильм', 'боевик'];7.2;Ад в Тихом океане;1968
['США'];['Фрэнк Таттл'];['Фильм нуар'];6.4;Ад в заливе Фриско;1956
['США'];['Джон Гиллермин'];['фильм-катастрофа'];7.0;Ад в поднебесье;1974
['Франция'];['Клод Шаброль'];['драма'];7.0;Ад;1994
['Великобритания'];['Вэл Гест'];['криминальный фильм'];7.0;Ад — это город;1960
['США'];['Норман Джуисон'];['драма', 'триллер'];6.6;Агнесса Божья;1985
['Мексика'];['Луис Эстрада'];['криминальная', 'драма', 'чёрный юмор'];7.6;Ад;2010
['Россия'];['Виталий Мельников'];['комедия', 'драма'];6.8;Агитбригада «Бей врага!»;2007
['Исландия', 'Швеция', 'Польша'];['Вальдимар Йоханнссон'];['драма', 'фолк-хоррор'];6.3;Агнец;2021
['СССР'];['Себастьян Аларкон'];['комедия положений'];5.3;Агенты КГБ тоже влюбляются;1991
['Испания', 'Мальта', 'Португалия', 'Франция', 'США'];['Алехандро Аменабар'];['биография', 'драма', 'приключения', 'история', 'пеплум'];7.1;Агора;2009
['США'];['Джули Браун', 'Ричард Уэнк'];['комедия', 'пародия'];4.4;Агрессивные дамочки / Нападения 5-футовых женщин;1994
['СССР'];['Элем Климов'];['исторический фильм', 'драма'];7.0;Агония;1981
['СССР'];['Ион Скутельник'];['детектив', 'шпионский', 'драма'];6.0;Агент секретной службы;1978
['США'];['Энтони Манн'];['нуар'];6.9;Агенты казначейства;1947
['США'];['Том Воган'];['криминальный', 'комедийный боевик'];5.0;Агент под прикрытием;2013
['США'];['Эдвин Л Марин'];['фильм ужасов', 'фантастический фильм'];5.9;Агент-невидимка;1942
['Великобритания', 'США'];['Джон Шлезингер'];['драма', 'триллер'];6.8;Агенты Сокол и Снеговик;1985
['США'];['Гай Ричи'];['Комедийный боевик'];7.2;Агенты А.Н.К.Л.;2015
