country;director;genre;imdb_rating;title;year
['США'];['Джон Лукас', 'Скотт Мур'];['комедия'];5.8;21 и больше;2013
['Россия'];['Александр Горновский'];['драма', 'комедия'];5.3;20 сигарет;2007
['США'];['Алехандро Гонсалес Иньярриту'];['драма'];7.6;21 грамм;2003
['США'];['Пол Гринграсс'];['Драма'];6.8;22 июля;2018
['США', 'Италия', 'ФРГ'];['Натан Юран'];['научно-фантастический фильм', 'фильм о монстрах', 'фильм-катастрофа', 'приключенческий фильм', 'фэнтезийный фильм', 'фильм-триллер', 'фильм ужасов'];6.3;20 миллионов миль до Земли;1957
['Испания'];['Эстибалис Урресола Солагурен'];['драматический фильм', 'ЛГБТ-фильм'];7.0;20 тысяч разновидностей пчёл;2023
['Испания', 'Франция'];['Рамон Саласар'];['комедия', 'мюзикл'];6.6;20 сантиметров;2005
['СССР'];['Григорий Никулин'];['исторический фильм'];6.4;20-е декабря;1981
['Украина'];['Мстислав Чернов'];['документальный фильм', 'военный фильм'];8.5;20 дней в Мариуполе;2023
['США'];['Род Харди'];['криминальный фильм', 'драма', 'триллер'];5.6;20 000 лье под водой;1997
['США'];['Майкл Кёртис'];['Криминальная мелодрама', 'Тюремная драма'];6.8;20 000 лет в Синг-Синге;1932
['США'];['Ричард Флейшер'];['драма', 'стимпанк', 'приключенческий фильм'];7.2;20 000 лье под водой;1954
['Великобритания'];['Айан Форсайт', 'Джейн Поллард'];['документальный', 'музыкальный'];7.4;20 000 дней на Земле;2014
['Россия'];['Андрес Пуустусмаа'];['исторический', 'детектив', 'приключение'];6.0;18-14;2007
['США'];['Тамара Олсон'];['комедия'];2.9;18-летняя девственница;2008
['США'];['Стюарт Патон'];['фантастика'];6.1;20 000 лье под водой;1916
['Республика Корея'];['Ким Джи Хун'];['боевик', 'драма', 'военный', 'история'];6.9;18 мая Великолепный отпуск;2007
['Казахстан'];['Фархат Шарипов'];['драма'];6.7;18 килогерц;2020
['США'];['Питер Делуиз'];['подростковая', 'фэнтезийная комедия'];5.4;16 желаний;2010
['Франция'];['Дельфин Кулин', 'Мюриэль Кулин'];['драма'];6.0;«17 девушек»;2011
['Гонконг', 'Китайская Республика'];['Джозеф Го'];['боевик', 'драма'];6.3;18 бронзовых бойцов;1975
['Франция'];['Патрик Алессандрен'];['комедия'];5.6;15 августа;2001
['США'];['Ричард Доннер'];['криминальный фильм', 'драма', 'триллер'];6.6;16 кварталов;2006
['Россия'];['Андрей Зайцев'];['мелодрама'];3.2;14+: Продолжение;2023
['Гонконг'];['Чэн Ган', 'Дун Шаоюн'];['приключенческий фильм', 'драма', 'военный фильм'];6.6;14 амазонок;1972
['США'];['Джон Херцфелд'];['Криминальная драма', 'боевик'];6.1;15 минут славы;2001
['Россия'];[];['документальный'];;13 друзей хунты;2014
['Россия'];['Джеф Агаев'];['Музыкальная драма'];;12 этажей спустя;2024
['Гонконг', 'Китай'];['Дэниел Ли'];['боевик', 'триллер'];6.3;14 клинков;2010
